+---------+---------------------+--------------------+
|  coin   |        time         |       price        |
+---------+---------------------+--------------------+
| bitcoin | 2024-05-10 00:00:00 | 58566.91642282563  |
| bitcoin | 2024-05-11 00:00:00 | 56489.04308941497  |
| bitcoin | 2024-05-12 00:00:00 | 56385.835846451875 |
| bitcoin | 2024-05-13 00:00:00 | 57100.99619053609  |
| bitcoin | 2024-05-14 00:00:00 | 58257.94727352527  |
| bitcoin | 2024-05-15 00:00:00 | 56927.17129981614  |
| bitcoin | 2024-05-16 00:00:00 | 60811.29527582236  |
| bitcoin | 2024-05-17 00:00:00 | 60054.301551755365 |
| bitcoin | 2024-05-18 00:00:00 |  61631.8782491127  |
| bitcoin | 2024-05-19 00:00:00 | 61502.73339909207  |
| bitcoin | 2024-05-20 00:00:00 | 60924.86820709035  |
| bitcoin | 2024-05-21 00:00:00 | 65770.16026770095  |
| bitcoin | 2024-05-22 00:00:00 | 64653.893276922405 |
| bitcoin | 2024-05-23 00:00:00 | 63912.083874721946 |
| bitcoin | 2024-05-24 00:00:00 | 62795.077789946045 |
| bitcoin | 2024-05-25 00:00:00 | 63150.07451451353  |
| bitcoin | 2024-05-26 00:00:00 | 63850.68338638202  |
| bitcoin | 2024-05-27 00:00:00 | 63150.48139241663  |
| bitcoin | 2024-05-28 00:00:00 | 63871.133659487794 |
| bitcoin | 2024-05-29 00:00:00 | 62950.705715262724 |
| bitcoin | 2024-05-30 00:00:00 | 62561.005165216935 |
| bitcoin | 2024-05-31 00:00:00 | 63123.741723088686 |
| bitcoin | 2024-06-01 00:00:00 | 62145.91785386879  |
| bitcoin | 2024-06-02 00:00:00 | 62362.92899401087  |
| bitcoin | 2024-06-03 00:00:00 | 62419.71597472404  |
| bitcoin | 2024-06-04 00:00:00 | 63083.78769270654  |
| bitcoin | 2024-06-05 00:00:00 | 64881.83386232028  |
| bitcoin | 2024-06-06 00:00:00 | 65462.71014376164  |
| bitcoin | 2024-06-07 00:00:00 | 64964.377920006424 |
| bitcoin | 2024-06-08 00:00:00 | 64146.75781805342  |
| bitcoin | 2024-06-09 00:00:00 |  64137.2658453789  |
| bitcoin | 2024-06-10 00:00:00 | 64623.80690329454  |
| bitcoin | 2024-06-11 00:00:00 | 64559.64845115045  |
| bitcoin | 2024-06-12 00:00:00 | 62689.904415286815 |
| bitcoin | 2024-06-13 00:00:00 | 63085.64417953837  |
| bitcoin | 2024-06-14 00:00:00 | 62107.46654002352  |
| bitcoin | 2024-06-15 00:00:00 | 61562.52612996296  |
| bitcoin | 2024-06-16 00:00:00 | 61759.23292317989  |
| bitcoin | 2024-06-17 00:00:00 |  62231.3694306833  |
| bitcoin | 2024-06-18 00:00:00 | 61877.28055510076  |
| bitcoin | 2024-06-19 00:00:00 | 60621.91572601943  |
| bitcoin | 2024-06-20 00:00:00 | 60398.36957706064  |
| bitcoin | 2024-06-21 00:00:00 | 60572.188509925974 |
| bitcoin | 2024-06-22 00:00:00 | 59924.844689378995 |
| bitcoin | 2024-06-23 00:00:00 | 60079.40613872267  |
| bitcoin | 2024-06-24 00:00:00 | 59147.18345045349  |
| bitcoin | 2024-06-25 00:00:00 | 56243.927094112085 |
| bitcoin | 2024-06-26 00:00:00 | 57677.50624706287  |
| bitcoin | 2024-06-27 00:00:00 | 56873.38456798354  |
| bitcoin | 2024-06-28 00:00:00 | 57491.13821425305  |
| bitcoin | 2024-06-29 00:00:00 | 56265.05472146868  |
| bitcoin | 2024-06-30 00:00:00 | 56775.63073475873  |
| bitcoin | 2024-07-01 00:00:00 | 58430.814422068135 |
| bitcoin | 2024-07-02 00:00:00 |  58509.4401642161  |
| bitcoin | 2024-07-03 00:00:00 | 57718.07416888454  |
| bitcoin | 2024-07-04 00:00:00 | 55833.80621748973  |
| bitcoin | 2024-07-05 00:00:00 | 52904.90433375453  |
| bitcoin | 2024-07-06 00:00:00 | 52307.68520432331  |
| bitcoin | 2024-07-07 00:00:00 | 53715.700026296974 |
| bitcoin | 2024-07-08 00:00:00 | 51613.90871758563  |
| bitcoin | 2024-07-09 00:00:00 | 52316.60116848915  |
| bitcoin | 2024-07-10 00:00:00 | 53621.436327802985 |
| bitcoin | 2024-07-11 00:00:00 | 53272.288732207024 |
| bitcoin | 2024-07-12 00:00:00 | 52781.06838693916  |
| bitcoin | 2024-07-13 00:00:00 |  53014.0364517072  |
| bitcoin | 2024-07-14 00:00:00 | 54166.67728993813  |
| bitcoin | 2024-07-15 00:00:00 | 55984.24278202276  |
| bitcoin | 2024-07-16 00:00:00 | 59500.95530894624  |
| bitcoin | 2024-07-17 00:00:00 | 59763.54497883689  |
| bitcoin | 2024-07-18 00:00:00 | 58625.721758164145 |
| bitcoin | 2024-07-19 00:00:00 | 58665.955279138856 |
| bitcoin | 2024-07-20 00:00:00 | 61224.60704078251  |
| bitcoin | 2024-07-21 00:00:00 |  61705.0466917566  |
| bitcoin | 2024-07-22 00:00:00 | 62467.87253811925  |
| bitcoin | 2024-07-23 00:00:00 | 62073.819234324954 |
| bitcoin | 2024-07-24 00:00:00 | 60765.80580937294  |
| bitcoin | 2024-07-25 00:00:00 | 60341.49772175119  |
| bitcoin | 2024-07-26 00:00:00 | 60594.574722199846 |
| bitcoin | 2024-07-27 00:00:00 | 62469.76061302131  |
| bitcoin | 2024-07-28 00:00:00 | 62599.81463153654  |
| bitcoin | 2024-07-29 00:00:00 | 62873.08389964636  |
| bitcoin | 2024-07-30 00:00:00 | 61707.72841612238  |
| bitcoin | 2024-07-31 00:00:00 | 61216.26793898385  |
| bitcoin | 2024-08-01 00:00:00 | 59750.92079501405  |
| bitcoin | 2024-08-02 00:00:00 | 60586.10315866606  |
| bitcoin | 2024-08-03 00:00:00 | 56231.21313117775  |
| bitcoin | 2024-08-04 00:00:00 | 55639.42359487421  |
| bitcoin | 2024-08-05 00:00:00 | 53169.53306907562  |
| bitcoin | 2024-08-06 00:00:00 | 49271.40149467704  |
| bitcoin | 2024-08-07 00:00:00 | 51222.280928669235 |
| bitcoin | 2024-08-08 00:00:00 | 50411.00101226333  |
| bitcoin | 2024-08-09 00:00:00 | 56671.842504303975 |
| bitcoin | 2024-08-10 00:00:00 | 55761.51548402803  |
| bitcoin | 2024-08-11 00:00:00 | 55729.910819518554 |
| bitcoin | 2024-08-12 00:00:00 | 53884.90745860033  |
| bitcoin | 2024-08-13 00:00:00 | 54270.12342034756  |
| bitcoin | 2024-08-14 00:00:00 | 55114.14602647766  |
| bitcoin | 2024-08-15 00:00:00 | 53343.88139134332  |
| bitcoin | 2024-08-16 00:00:00 | 52521.96236743676  |
| bitcoin | 2024-08-17 00:00:00 | 53376.171320376874 |
| bitcoin | 2024-08-18 00:00:00 | 53873.71546267861  |
| bitcoin | 2024-08-19 00:00:00 | 53006.74653077159  |
| bitcoin | 2024-08-20 00:00:00 | 53742.26074312489  |
| bitcoin | 2024-08-21 00:00:00 | 53072.96487740486  |
| bitcoin | 2024-08-22 00:00:00 | 54811.25973940124  |
| bitcoin | 2024-08-23 00:00:00 | 54317.08310206506  |
| bitcoin | 2024-08-24 00:00:00 |  57173.9518647258  |
| bitcoin | 2024-08-25 00:00:00 | 57319.03380665118  |
| bitcoin | 2024-08-26 00:00:00 | 57448.04865756021  |
| bitcoin | 2024-08-27 00:00:00 | 56355.54477751003  |
| bitcoin | 2024-08-28 00:00:00 | 53250.67556605576  |
| bitcoin | 2024-08-29 00:00:00 | 53049.55806257478  |
| bitcoin | 2024-08-30 00:00:00 | 53564.80049060293  |
| bitcoin | 2024-08-31 00:00:00 | 53481.26904169355  |
| bitcoin | 2024-09-01 00:00:00 | 53307.011182245114 |
| bitcoin | 2024-09-02 00:00:00 |  51929.8407759559  |
| bitcoin | 2024-09-03 00:00:00 | 53412.30560377036  |
| bitcoin | 2024-09-04 00:00:00 |  52046.1502790778  |
| bitcoin | 2024-09-05 00:00:00 | 52329.681939274866 |
| bitcoin | 2024-09-06 00:00:00 | 50518.54680242768  |
| bitcoin | 2024-09-07 00:00:00 | 48622.690205035346 |
| bitcoin | 2024-09-08 00:00:00 | 48827.90111822669  |
| bitcoin | 2024-09-09 00:00:00 | 49416.66965979366  |
| bitcoin | 2024-09-10 00:00:00 |  51694.7737107547  |
| bitcoin | 2024-09-11 00:00:00 | 52293.63869759159  |
| bitcoin | 2024-09-12 00:00:00 | 52115.49563129617  |
| bitcoin | 2024-09-13 00:00:00 | 52451.75030832475  |
| bitcoin | 2024-09-14 00:00:00 | 54674.77446852742  |
| bitcoin | 2024-09-15 00:00:00 | 54142.357125255534 |
| bitcoin | 2024-09-16 00:00:00 | 53407.547394791305 |
| bitcoin | 2024-09-17 00:00:00 | 52308.16606889451  |
| bitcoin | 2024-09-18 00:00:00 | 54228.992673647364 |
| bitcoin | 2024-09-19 00:00:00 | 55288.44506329167  |
| bitcoin | 2024-09-20 00:00:00 | 56427.20338319878  |
| bitcoin | 2024-09-21 00:00:00 | 56488.082242429715 |
| bitcoin | 2024-09-22 00:00:00 | 56759.67683409224  |
| bitcoin | 2024-09-23 00:00:00 | 56960.916902308025 |
| bitcoin | 2024-09-24 00:00:00 | 56989.44770900782  |
| bitcoin | 2024-09-25 00:00:00 | 57493.81502099898  |
| bitcoin | 2024-09-26 00:00:00 | 56737.43484845022  |
| bitcoin | 2024-09-27 00:00:00 | 58275.038981340615 |
| bitcoin | 2024-09-28 00:00:00 | 58891.82868753552  |
| bitcoin | 2024-09-29 00:00:00 | 59019.92695395789  |
| bitcoin | 2024-09-30 00:00:00 | 58791.91905839133  |
| bitcoin | 2024-10-01 00:00:00 | 56785.567724519715 |
| bitcoin | 2024-10-02 00:00:00 | 55018.60488254399  |
| bitcoin | 2024-10-03 00:00:00 | 54905.83731260847  |
| bitcoin | 2024-10-04 00:00:00 | 55029.88993283354  |
| bitcoin | 2024-10-05 00:00:00 |  56557.5221526609  |
| bitcoin | 2024-10-06 00:00:00 | 56539.73406535857  |
| bitcoin | 2024-10-07 00:00:00 | 57252.32733417741  |
| bitcoin | 2024-10-08 00:00:00 | 56754.33895468004  |
| bitcoin | 2024-10-09 00:00:00 | 56657.33655044081  |
| bitcoin | 2024-10-10 00:00:00 | 55382.099090773205 |
| bitcoin | 2024-10-11 00:00:00 | 55055.71620633765  |
| bitcoin | 2024-10-12 00:00:00 | 57015.18140309107  |
| bitcoin | 2024-10-13 00:00:00 | 57760.33532582211  |
| bitcoin | 2024-10-14 00:00:00 | 57417.523313436555 |
| bitcoin | 2024-10-15 00:00:00 | 60551.20074941091  |
| bitcoin | 2024-10-16 00:00:00 |  61522.6779321783  |
| bitcoin | 2024-10-17 00:00:00 | 62295.13515961688  |
| bitcoin | 2024-10-18 00:00:00 | 62168.14661024002  |
| bitcoin | 2024-10-19 00:00:00 | 62971.25326535072  |
| bitcoin | 2024-10-20 00:00:00 | 62900.664368658116 |
